Material Name,Material Code,Item Category,Item Group,UOM
2T 2P SLIDING DOOR WITH MESH W-1050 X H-861 MM 6MM ST 167 TOUGHENED SW1,2T 2P SLIDING DOOR WITH MESH W-1050 X H-861 MM 6MM ST 167 TOUGHENED SW1,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING DOOR WITH MESH W-1051 X H-848 MM 6MM ST 167 TOUGHENED SW2,2T 2P SLIDING DOOR WITH MESH W-1051 X H-848 MM 6MM ST 167 TOUGHENED SW2,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING DOOR WITH MESH W-1056 X H-866 MM 6MM ST 167 TOUGHENED SW3,2T 2P SLIDING DOOR WITH MESH W-1056 X H-866 MM 6MM ST 167 TOUGHENED SW3,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING DOOR WITH MESH W-1195 X H-1700 MM 6MM FROSTED TOUGHENED SW8,2T 2P SLIDING DOOR WITH MESH W-1195 X H-1700 MM 6MM FROSTED TOUGHENED SW8,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING DOOR WITH MESH W-1200 X H-1751 MM 6MM FROSTED TOUGHENED SW4,2T 2P SLIDING DOOR WITH MESH W-1200 X H-1751 MM 6MM FROSTED TOUGHENED SW4,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING DOOR WITH MESH W-1200 X H-1751 MM 6MM ST 167 TOUGHENED SW4,2T 2P SLIDING DOOR WITH MESH W-1200 X H-1751 MM 6MM ST 167 TOUGHENED SW4,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING DOOR WITH MESH W-1204 X H-1751 MM 6MM FROSTED TOUGHENED SW12,2T 2P SLIDING DOOR WITH MESH W-1204 X H-1751 MM 6MM FROSTED TOUGHENED SW12,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING DOOR WITH MESH W-1205 X H-1741 MM 6MM FROSTED TOUGHENED SW9,2T 2P SLIDING DOOR WITH MESH W-1205 X H-1741 MM 6MM FROSTED TOUGHENED SW9,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING DOOR WITH MESH W-1207 X H-1741 MM 6MM FROSTED TOUGHENED SW10,2T 2P SLIDING DOOR WITH MESH W-1207 X H-1741 MM 6MM FROSTED TOUGHENED SW10,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING DOOR WITH MESH W-1995 X H-1761 MM 6MM FROSTED TOUGHENED SW7,2T 2P SLIDING DOOR WITH MESH W-1995 X H-1761 MM 6MM FROSTED TOUGHENED SW7,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING DOOR WITH MESH W-2001 X H-1735 MM 6MM FROSTED TOUGHENED SW6,2T 2P SLIDING DOOR WITH MESH W-2001 X H-1735 MM 6MM FROSTED TOUGHENED SW6,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING DOOR WITH MESH W-2010 X H-1746 MM 6MM FROSTED TOUGHENED SW5,2T 2P SLIDING DOOR WITH MESH W-2010 X H-1746 MM 6MM FROSTED TOUGHENED SW5,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING DOOR WITH MESH W-2010 X H-1746 MM 6MM ST 167 TOUGHENED SW5,2T 2P SLIDING DOOR WITH MESH W-2010 X H-1746 MM 6MM ST 167 TOUGHENED SW5,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING DOOR WITH MESH W-2010 X H-1748 MM 6MM FROSTED TOUGHENED SW11,2T 2P SLIDING DOOR WITH MESH W-2010 X H-1748 MM 6MM FROSTED TOUGHENED SW11,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING DOOR WITH MESH W-3000 X H-2700 MM 8MM CLEAR TOUGHENED SD1,2T 2P SLIDING DOOR WITH MESH W-3000 X H-2700 MM 8MM CLEAR TOUGHENED SD1,INDIGENOUS,PROJECT MATERIALS,SFT
2T 2P SLIDING DOOR WITH MESH W-3030 X H-3178 MM 8MM ST 167 TOUGHENED SD,2T 2P SLIDING DOOR WITH MESH W-3030 X H-3178 MM 8MM ST 167 TOUGHENED SD,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING WINDOW WITH MESH H-2000 X W-1800 MM 6MM CLEAR TOUGHENED W1,2T 2P SLIDING WINDOW WITH MESH H-2000 X W-1800 MM 6MM CLEAR TOUGHENED W1,INDIGENOUS,PROJECT MATERIALS,SFT
2T 2P SLIDING WINDOW WITH MESH W-1007 X H-1778 MM 6MM ST 167 TOUGHENED SW15,2T 2P SLIDING WINDOW WITH MESH W-1007 X H-1778 MM 6MM ST 167 TOUGHENED SW15,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING WINDOW WITH MESH W-1050 X H-861 MM 6MM ST 167 TOUGHENED SW1,2T 2P SLIDING WINDOW WITH MESH W-1050 X H-861 MM 6MM ST 167 TOUGHENED SW1,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING WINDOW WITH MESH W-1051 X H-848 MM 6MM ST 167 TOUGHENED SW2,2T 2P SLIDING WINDOW WITH MESH W-1051 X H-848 MM 6MM ST 167 TOUGHENED SW2,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING WINDOW WITH MESH W-1056 X H-866 MM 6MM ST 167 TOUGHENED SW3,2T 2P SLIDING WINDOW WITH MESH W-1056 X H-866 MM 6MM ST 167 TOUGHENED SW3,INDIGENOUS,PROJECT MATERIALS,NOS
2T 2P SLIDING WINDOW WITH MESH W-1187 X H-1740 MM 6MM FROSTED TOUGHENED SW20,2T 2P SLIDING WINDOW WITH MESH W-1187 X H-1740 MM 6MM FROSTED TOUGHENED SW20,INDIGENOUS,PROJECT MATERIALS,NOS
