Material Name,Material Code,Item Category,Item Group,UOM
0.1 MICRON FILTER ELEMENT MEDIA,0.1 MICRON FILTER ELEMENT MEDIA,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0.2ML PCR 8-STRIP TUBES WITH ATTACHED FLAT CAP CLEAR,0.2ML PCR 8-STRIP TUBES WITH ATTACHED FLAT CAP CLEAR,LAB ITEMS,STORES AND SPARES-IND,NOS
0.5 H.P 2800 RPM 350 CFM 3PHASE BLOWER,0.5 H.P 2800 RPM 350 CFM 3PHASE BLOWER,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0.5 H.P SINGLE PHASE MINI MONO BLOCK,0.5 H.P SINGLE PHASE MINI MONO BLOCK,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0.5 HP MOTOR - LAXMI HYDRAULIC,0.5 HP MOTOR - LAXMI HYDRAULIC,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0.5 HP MOTOR WITH GEAR BOX FOOT MOUNTED,0.5 HP MOTOR WITH GEAR BOX FOOT MOUNTED,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
"0.5 HP TEXMO MAKE TARO HIGH MONOBLOCK MOTOR SINGLE PHASE 2900 RPM , PUMP SIZE 25 X 25 MM -HCS 4025 S","0.5 HP TEXMO MAKE TARO HIGH MONOBLOCK MOTOR SINGLE PHASE 2900 RPM , PUMP SIZE 25 X 25 MM -HCS 4025 S",ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
"0.5 HP TEXMO MAKE TARO HIGH MONOBLOCK MOTOR SINGLE PHASE 2900 RPM , PUMP SIZE 32 X 32 MM -HCS 4025 S","0.5 HP TEXMO MAKE TARO HIGH MONOBLOCK MOTOR SINGLE PHASE 2900 RPM , PUMP SIZE 32 X 32 MM -HCS 4025 S",MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0.5 SQMM X 2 PAIR FLEXIBLE SHIELDED COPPER CABLE,0.5 SQMM X 2 PAIR FLEXIBLE SHIELDED COPPER CABLE,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,MTRS
0.5 SQMM X 3 CORE SHIELDED CABLE,0.5 SQMM X 3 CORE SHIELDED CABLE,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,MTRS
0.5 SQMM X 4 CORE FLEXIBLE CABLE,0.5 SQMM X 4 CORE FLEXIBLE CABLE,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,MTRS
0.5 SQMM X 4 CORE FLEXIBLE SHIELDED CABLE,0.5 SQMM X 4 CORE FLEXIBLE SHIELDED CABLE,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,MTRS
0.5 SQMM X 6 CORE FLEXIBLE CABLE,0.5 SQMM X 6 CORE FLEXIBLE CABLE,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,MTRS
0.5 SQMM X 6 CORE SHIELDED CABLE,0.5 SQMM X 6 CORE SHIELDED CABLE,ELECTRICAL - INDIGENOUS,STORES AND SPARES-IND,MTRS
